Mythos,Type,Subtype,Gate location,Clue Location,White,Black,Mythos Ability,Pass,Fail
A Strange Plague,Environment,Mystic,Independence Square,The Unnamable,"Diamond, Square",Circle,Investigators cannot gain Stamina except by receiving medical care in St. Mary's Hospital (or from Vincent Lee).,,
Alien Technology,Environment,Urban,Unvisited Isle,Science Building,"Diamond, Square",Circle,"Mi-Go have their toughness increased by 2. If an investigator passes a Combat check against a Mi-Go, he draws 1 extra Unique Item.",,
All Quiet in Arkham!,Headline,,Woods,Historical Society,Hexagon,"Diagonal, Triangle, Star",Each player may pass a Luck (-1) check to be Blessed.,,
An Evil Fog,Environment,Weather,Graveyard,Unvisited Isle,Plus,Crescent,Will checks in Arkham are made at a -1 penalty. Sneak checks in Arkham are made at a +1 bonus. Fliers do not move.,,
Big Storm Sweeps Arkham!,Headline,,Independence Square,The Unnamable,Crescent,Plus,All monsters in the Sky and Outskirts are returned to the cup.,,
Bizarre Dreams Plague Citizens!,Headline,,Science Building,The Witch House,Hexagon,"Diagonal, Triangle, Star","All Gugs and Nightgaunts in Arkham are returned to the cup. If at least one monster returns to the cup, raise the terror level by 1.",,
Blackest Night,Environment,Mystic,Black Cave,Hibb's Roadhouse,"Diamond, Square",Circle,Luck checks in Arkham are made at a -1 penalty. Sneak checks in Arkham are made at a +1 bonus.,,
Blood Magic,Environment,Mystic,Independence Square,The Unnamable,"Diamond, Square",Circle,"Investigators who end their movement in Rivertown streets may choose to delve into dark mysteries using their life force. They roll dice equal to their current Stamina, and for every failed die, they lose 1 Stamina. If this reduces them to 0 Stamina, they are devoured and the player must start a new character. Otherwise, they gain 3 Clue tokens.",,
Blue Flu!,Headline,,The Unnamable,Woods,Hexagon,"Diagonal, Triangle, Star",All investigators in jail are released. No investigators may be arrested until the end of next turn. Leave this card in play until then to indicate this.,,
Campus Security Increased!,Headline,,Independence Square,The Unnamable,Circle,"Diamond, Square",All monsters in the Miskatonic U. Streets or Locations are returned to the cup.,,
Church Group Reclaims Southside!,Headline,,Black Cave,Hibb's Roadhouse,Hexagon,"Diagonal, Triangle, Star",All monsters in the Southside streets or locations are returned to the cup.,,
City Gripped by Blackouts!,Headline,,Unvisited Isle,Science Building,Hexagon,"Diagonal, Triangle, Star","The General Store, Curiositie Shoppe, and Ye Olde Magick Shoppe are closed until the end of next turn. Leave this card in play until then to indicate this.",,
Curfew Enforced,Environment,Urban,Unvisited Isle,Science Building,Plus,Crescent,Any investigator who ends his movement in the streets must pass a Will (+0) check or be arrested and taken to the Police Station.,,
Darke's Carnival Arrives,Environment,Urban,The Unnamable,Woods,"Diamond, Square",Circle,"Investigators who end their movement in the Northside streets gain 1 Clue token from the sinister wonders they witness, but must pass a Will (-1) check or lose 1 Sanity.",,
Disturbing the Dead,Rumor,,Black Cave,,"Diagonal, Triangle, Star",Hexagon,"Ongoing Effect: Roll a die at the end of every Mythos Phase while this card is in play (beginning the turn after it entered play). On a 1 or 2, increase the terror level by 1.","If a single player discards 2 gate trophies during the Arkham Encounter Phase while in the Rivertown streets, return this card to the box. Each player draws 1 Spell.","If the terror level reaches 10, return this card to the box. Every investigator is Cursed."
Dreams of a Sunken City,Environment,Mystic,Independence Square,The Unnamable,Plus,Crescent,Investigators cannot gain Sanity except by receiving psychiatric care at Arkham Asylum (or from Carolyn Fern).,,
Egyptian Exhibit Visits Miskatonic U.,Environment,Urban,The Witch House,Black Cave,Plus,Crescent,Any investigator who ends his movement in the Miskatonic U. streets may pass a Lore (-1) check to gain 1 Clue token by reading the strange hieroglyphics on the artifacts in the exhibit.,,
Estate Sale,Environment,Urban,The Witch House,Black Cave,"Diamond, Square",Circle,"Investigators who end their movement in the Uptown streets may draw 2 Unique Items and purchase one, none, or both of them at list price, discarding any that are not purchased",,
Family Found Butchered!,Headline,,Graveyard,Unvisited Isle,Crescent,Plus,The terror level increases by 1 in light of this tragic news.,,
Feds Raid Arkham!,Headline,,Black Cave,Hibb's Roadhouse,Crescent,Plus,All monsters in the streets are returned to the cup.,,
